 index	Title	Beats Per Minute	Popularity
692	Castle on the Hill	135	79
693	Sign of the Times	120	80
694	In the Blood	80	66
695	Nao ’t Zuuje	190	41
696	"Roll Over Lay Down - Live At The Kursaal, Southend / 1975"	132	32
697	Whatever It Takes	135	82
698	Amigo	145	33
699	Iederene Hef Een Reden	108	41
700	Everything Now	116	66
701	Sorry	128	62
702	One More Light	84	75
703	Through the Barricades - Remastered	146	60
704	Freedom! '90 - Remastered	92	69
705	Amsterdam	168	63
706	Something Just Like This	103	84
707	Thunder	168	86
708	Thinking Of A Place	103	59
709	Happier	90	83
710	Galway Girl	100	80
711	Sunny Days	115	54
712	Supermarket Flowers	90	78
713	Holiday	147	67
714	Max	125	25
715	Rapper's Delight	112	48
716	Pain	116	62
717	Love On The Rocks	103	40
718	Tuesday Afternoon (Forever Afternoon)	114	50
719	Magnificent (She Says)	92	31
720	Nicotine	90	36
721	Homesick	86	71
722	Beautiful Trauma	96	68
723	World Gone Mad	140	64
724	Leave a Light On	69	75
725	Skin	171	69
726	Lost on You	174	78
727	Shallow	96	88
728	Kleine Jongen	91	30
729	Duurt Te Lang	174	68
730	I Want To Break Free	109	59
731	September	126	82
732	Voor Haar	82	30
733	Testament	122	28
734	Atemlos durch die Nacht	128	38
735	Zij Gelooft In Mij	152	30
736	Verdronken Vlinder	128	29
737	Als Het Avond Is	105	65
738	De Vlieger	105	27
739	Geef Mij Je Angst	140	30
740	Natural	100	84
741	IJskoud	98	65
742	Welterusten Mijnheer De President	131	23
743	Jimmy	111	32
744	Bad Liar	178	83
745	Sammy	81	23
746	High Hopes	82	87
747	Het Land Van Maas En Waal	126	23
748	Shotgun	116	82
749	New Light	124	81
750	You Say	148	80
751	Een Beetje Verliefd	198	32
752	Someone You Loved	110	85
753	Banger Hart - Radio Mix	124	16
754	Malle Babbe	87	15
755	Vluchten Kan Niet Meer	87	17
756	Faded	180	80
757	High On Life (feat. Bonn)	128	78
758	Het Is Koud Zonder Jou	197	30
759	N Vriend	68	31
760	Always Remember Us This Way	130	81
761	Een Meisje Van Zestien	140	20
762	Why Don't You Do Right	106	44
763	De Zon Op	100	52
764	Youngblood	120	84
765	Prikkebeen	109	17
766	Outlaw In 'Em	87	39
767	Als De Rook Om Je Hoofd Is Verdwenen	132	19
768	Skandal im Sperrbezirk	93	26
769	Pain and Misery	89	50
770	I Do	73	52
771	Het Laatste Rondje - Remastered	103	33
772	Guiding Light	100	60
773	Havana (feat. Young Thug)	105	85
774	Hou Vol Hou Vast	86	12
775	One Kiss (with Dua Lipa)	124	86
776	Nothing Breaks Like a Heart (feat. Miley Cyrus)	114	79
777	Lay Your Weapons Down	94	21
778	In My Blood	140	82
779	Roller Coaster	97	70
780	Arcade	72	73
781	A Whiter Shade of Pale - Original Single Version	150	67
782	Don't You (Forget About Me)	111	73
783	The Load-Out - Remastered	106	37
784	Stay - Remastered	107	36
785	Last Christmas	108	85
786	Time To Give	120	50
787	bad guy	135	95
788	Memories	91	98
789	Love Like Blood	124	37
790	Reünie	96	71
791	About A Girl - Live Version	121	50
792	DEUTSCHLAND	120	72
793	Phantom Of The Opera	132	56
794	Dance Monkey	98	100
795	Blauwe Dag	98	68
796	Homburg - Single Version - 2009 Remaster - Mono	142	32
797	Uncharted	139	65
798	Despacito	178	80
799	Dancing On My Own	113	28
800	Child in Time	127	45
801	Let It Be - Remastered 2009	143	79
802	Bridge Over Troubled Water	80	71
803	Paranoid - 2016 Remaster	163	68
804	Have You Ever Seen The Rain	116	71
805	Your Song	128	77
806	The Boxer	93	72
807	Du	94	53
808	I Walk the Line	99	71
809	Samba Pa Ti	92	63
810	Immigrant Song - Remaster	113	77
811	Who'll Stop The Rain	124	66
812	Our House	140	68
813	Teach Your Children	155	63
814	The Long And Winding Road - Remastered 2009	132	64
815	Father And Son	136	74
816	Almost Cut My Hair	137	62
817	El Condor Pasa (If I Could)	148	62
818	Question	76	50
819	I Heard It Through The Grapevine	119	47
820	Since I've Been Loving You - 1990 Remaster	119	63
821	Get Back - Remastered 2009	123	65
822	The Man Who Sold the World - 2015 Remaster	118	63
823	Long As I Can See The Light	127	60
824	Roadhouse Blues	121	73
825	My Sweet Lord	121	76
826	Memories	131	29
827	Cecilia	103	73
828	Fire and Rain	76	73
829	Lookin' Out My Back Door	105	67
830	25 or 6 to 4 - 2002 Remaster	147	64
831	Working Class Hero - Remastered 2010 / Lennon Legend Version	159	57
832	Lucky Man - 2012 Remastered Version	154	60
833	Into the Mystic - 2013 Remaster	86	72
834	Carry On	119	58
835	(They Long To Be) Close To You	89	60
836	Move On Up	139	67
837	Tears In The Morning - Remastered 2009	128	38
838	Up Around The Bend	130	69
839	Southern Man - 2009 Remaster	162	53
840	Stairway to Heaven - Remaster	82	79
841	Imagine - Remastered	76	78
842	Riders on the Storm	104	74
843	Echoes	134	58
844	Vincent	92	69
845	Me and Bobby McGee	93	71
846	Baba O'Riley	117	77
847	Life on Mars? - 2015 Remaster	123	71
848	I Am...I Said - Single Version	91	60
849	Ain't No Sunshine	80	76
850	Wild Horses	140	72
851	L.A. Woman	171	67
852	What's Going On	203	69
853	Halo of Flies	122	44
854	American Pie	138	74
855	Tiny Dancer	145	79
856	Morning Has Broken	133	68
857	One Way Wind	109	54
858	One of These Days	104	55
859	Nothing Rhymed	175	35
860	Brown Sugar - Remastered	129	71
861	You've Got a Friend	169	68
862	Locomotive Breath	125	60
863	She Flies On Strange Wings	131	37
864	Changes - 2015 Remaster	115	66
865	Mercedes Benz	87	58
866	Honky Tonk Women - Mono Version	120	67
867	You've Got a Friend	92	68
868	Cry Baby	83	66
869	Storm And Thunder	133	24
870	Roundabout - 2003 Remaster	133	66
871	Maggie May	129	72
872	Won't Get Fooled Again - Original Album Version	135	65
873	After Midnight	96	62
874	Give Up Your Guns	131	39
875	Love Her Madly	147	67
876	Rock and Roll - Remaster	170	67
877	Black Dog - Remaster	81	73
878	Call Me The Breeze	92	58
879	Famous Blue Raincoat	119	63
880	Behind Blue Eyes	127	71
881	Yours Is No Disgrace - 2003 Remaster	141	43
882	See Emily Play	124	50
883	Smoke on the Water	114	64
884	Perfect Day	145	69
885	"Rocket Man (I Think It's Going To Be A Long, Long Time)"	137	82
886	Heart of Gold - 2009 Remaster	171	71
887	Starman - 2012 Remaster	100	74
888	Take It Easy - 2013 Remaster	139	75
889	A Horse with No Name	123	77
890	Time In A Bottle	134	58
891	Lola - Live	134	29
892	Easy Livin'	161	56
893	Ben - Single Version	136	53
894	Walk On the Wild Side	105	75
895	She's A Rainbow - Full Version / With Intro	109	55
896	You're so Vain	106	75
